Date,Price,Open,High,Low,Volume,Chg%
"Sep 29, 2020",73.75,73.785,73.918,73.716,3.48K,0.00%
"Sep 28, 2020",73.75,73.685,73.862,73.526,5.66K,0.11%
"Sep 25, 2020",73.67,73.735,73.788,73.566,2.96K,-0.31%
"Sep 24, 2020",73.9,73.835,74.055,73.765,3.90K,0.45%
"Sep 23, 2020",73.57,73.503,73.635,73.43,1.88K,0.08%
"Sep 22, 2020",73.51,73.575,73.645,73.385,3.36K,-0.08%
"Sep 21, 2020",73.57,73.535,73.649,73.26,3.60K,0.04%
"Sep 18, 2020",73.538,73.475,73.613,73.144,4.47K,-0.08%
"Sep 17, 2020",73.6,73.715,73.784,73.581,3.84K,0.07%
"Sep 16, 2020",73.545,73.595,73.779,73.47,4.40K,-0.07%
"Sep 15, 2020",73.6,73.395,73.735,73.312,4.29K,0.31%
"Sep 14, 2020",73.37,73.48,73.605,73.265,1.14K,-0.08%
"Sep 11, 2020",73.43,73.535,73.628,73.405,5.87K,0.00%
"Sep 10, 2020",73.43,73.462,73.508,73.155,7.66K,0.18%
"Sep 09, 2020",73.3,73.787,73.832,73.31,7.93K,-0.60%
"Sep 08, 2020",73.74,73.63,73.974,73.385,8.43K,0.40%
"Sep 07, 2020",73.444,73.291,73.508,73.027,7.29K,0.21%
"Sep 04, 2020",73.289,73.48,73.505,73.006,7.23K,-0.14%
"Sep 03, 2020",73.389,73.225,73.57,73.151,6.89K,0.17%
"Sep 02, 2020",73.268,73.143,73.32,72.893,7.79K,0.36%
"Sep 01, 2020",73.002,73.215,73.225,72.753,6.38K,-0.34%
"Aug 31, 2020",73.254,73.115,73.702,73.05,4.53K,0.19%
"Aug 28, 2020",73.114,73.827,73.878,73.116,6.66K,-1.06%
"Aug 27, 2020",73.894,74.29,74.37,73.782,4.04K,-0.44%
"Aug 26, 2020",74.217,74.225,74.459,74.193,6.88K,0.02%
"Aug 25, 2020",74.202,74.1,74.517,74.07,6.79K,0.05%
"Aug 24, 2020",74.168,74.922,74.922,73.962,4.90K,-1.00%
"Aug 21, 2020",74.92,74.98,75.005,74.82,3.16K,-0.12%
"Aug 20, 2020",75.012,74.973,75.132,74.935,3.70K,0.22%
"Aug 19, 2020",74.846,74.655,74.935,74.628,3.52K,0.37%
"Aug 18, 2020",74.57,74.74,74.886,74.575,3.22K,-0.23%
"Aug 17, 2020",74.743,74.903,74.921,74.715,3.09K,-0.17%
"Aug 14, 2020",74.874,74.89,74.978,74.734,3.21K,0.08%
"Aug 13, 2020",74.811,74.775,74.933,74.769,2.87K,0.03%
"Aug 12, 2020",74.79,74.615,74.935,74.615,3.34K,0.24%
"Aug 11, 2020",74.61,74.855,74.887,74.522,3.19K,-0.35%
"Aug 10, 2020",74.87,75.025,75.025,74.857,1.03K,-0.21%
"Aug 07, 2020",75.025,75.073,75.112,74.891,5.55K,0.17%
"Aug 06, 2020",74.9,74.875,75.017,74.777,5.71K,0.14%
"Aug 05, 2020",74.798,74.982,75.03,74.763,6.17K,-0.35%
"Aug 04, 2020",75.062,75.165,75.214,74.962,3.64K,-0.16%
"Aug 03, 2020",75.185,74.918,75.314,74.863,4.96K,0.36%
"Jul 31, 2020",74.918,74.75,74.939,74.685,5.49K,0.06%
"Jul 30, 2020",74.877,74.83,74.967,74.795,5.59K,-0.10%
"Jul 29, 2020",74.948,74.87,74.949,74.676,6.58K,0.05%
"Jul 28, 2020",74.909,74.785,74.943,74.707,6.41K,0.15%
"Jul 27, 2020",74.8,74.76,74.902,74.665,4.72K,0.05%
"Jul 24, 2020",74.76,74.908,74.985,74.697,6.19K,-0.07%
"Jul 23, 2020",74.815,74.625,74.961,74.6,5.88K,0.27%
"Jul 22, 2020",74.61,74.543,74.872,74.509,4.20K,0.09%
"Jul 21, 2020",74.54,74.725,74.875,74.516,6.01K,-0.28%
"Jul 20, 2020",74.75,74.898,75.033,74.735,5.89K,-0.20%
"Jul 17, 2020",74.897,75.2,75.255,74.897,5.94K,-0.38%
"Jul 16, 2020",75.18,75.115,75.295,75.107,5.25K,0.07%
"Jul 15, 2020",75.125,75.325,75.38,75.05,7.09K,-0.37%
"Jul 14, 2020",75.407,75.275,75.535,75.268,6.85K,0.26%
"Jul 13, 2020",75.212,75.195,75.237,75.082,5.96K,0.02%
"Jul 10, 2020",75.195,75.165,75.34,75.141,4.64K,0.05%
"Jul 09, 2020",75.155,74.935,75.166,74.902,6.15K,0.28%
"Jul 08, 2020",74.945,74.835,75.084,74.825,5.11K,0.18%
"Jul 07, 2020",74.81,74.65,74.984,74.645,5.59K,0.23%
"Jul 06, 2020",74.635,74.636,74.827,74.488,6.10K,0.00%
"Jul 03, 2020",74.636,74.725,75.03,74.582,3.91K,-0.15%
"Jul 02, 2020",74.75,75.465,75.534,74.637,5.40K,-0.98%
"Jul 01, 2020",75.49,75.525,75.625,75.47,4.35K,-0.07%
"Jun 30, 2020",75.545,75.52,75.633,75.422,5.84K,0.05%
"Jun 29, 2020",75.51,75.62,75.67,75.456,5.43K,-0.15%
"Jun 26, 2020",75.62,75.58,75.679,75.43,4.43K,0.04%
"Jun 25, 2020",75.587,75.717,75.787,75.518,5.96K,-0.10%
"Jun 24, 2020",75.665,75.473,75.769,75.473,6.66K,0.22%
"Jun 23, 2020",75.503,75.782,75.912,75.452,6.08K,-0.38%
"Jun 22, 2020",75.79,76.26,76.295,75.73,6.51K,-0.62%
"Jun 19, 2020",76.26,76.341,76.365,76.095,6.08K,-0.18%
"Jun 18, 2020",76.4,76.255,76.4,76.048,7.12K,0.14%
"Jun 17, 2020",76.29,76.26,76.367,76.091,7.24K,0.05%
"Jun 16, 2020",76.25,75.857,76.313,75.772,7.75K,0.36%
"Jun 15, 2020",75.979,76.05,76.167,75.913,6.95K,-0.09%
"Jun 12, 2020",76.05,75.975,76.24,75.756,7.54K,0.10%
"Jun 11, 2020",75.971,75.68,75.971,75.58,5.78K,0.45%
"Jun 10, 2020",75.634,75.511,75.676,75.398,5.34K,0.17%
"Jun 09, 2020",75.505,75.445,75.706,75.41,6.94K,0.14%
"Jun 08, 2020",75.4,75.56,75.673,75.391,5.43K,-0.21%
"Jun 05, 2020",75.56,75.44,75.727,75.325,5.18K,0.13%
"Jun 04, 2020",75.459,75.355,75.645,75.337,4.88K,0.18%
"Jun 03, 2020",75.325,75.05,75.553,75.008,5.41K,0.30%
"Jun 02, 2020",75.1,75.545,75.62,74.973,6.13K,-0.54%
"Jun 01, 2020",75.505,75.47,75.775,75.272,5.28K,-0.13%
"May 29, 2020",75.605,75.7,75.742,75.44,4.31K,-0.07%
"May 28, 2020",75.66,75.804,75.905,75.634,5.41K,-0.34%
"May 27, 2020",75.92,75.547,75.971,75.52,4.51K,0.61%
"May 26, 2020",75.459,75.843,75.855,75.407,1.83K,-0.56%
"May 25, 2020",75.887,75.95,76.11,75.854,0.31K,-0.08%
"May 22, 2020",75.95,75.655,76.023,75.625,4.41K,0.44%
"May 21, 2020",75.62,75.545,75.826,75.398,3.45K,0.09%
"May 20, 2020",75.555,75.71,75.87,75.468,4.51K,-0.12%
"May 19, 2020",75.645,75.61,75.808,75.55,3.77K,-0.07%
"May 18, 2020",75.7,75.83,76.062,75.632,3.18K,-0.17%
"May 15, 2020",75.83,75.51,75.941,75.405,3.56K,0.44%
"May 14, 2020",75.495,75.441,75.699,75.341,4.38K,0.17%
"May 13, 2020",75.365,75.275,75.507,75.048,3.71K,0.40%
"May 12, 2020",75.062,75.945,75.967,75.049,4.05K,-1.09%
"May 11, 2020",75.888,75.535,75.925,75.45,5.78K,0.47%
"May 08, 2020",75.535,75.588,75.645,75.262,3.32K,-0.34%
"May 07, 2020",75.794,76.1,76.145,75.773,0.48K,-0.41%
"May 06, 2020",76.105,75.805,76.108,75.63,3.51K,0.52%
"May 05, 2020",75.71,75.64,75.868,75.471,3.75K,0.09%
"May 04, 2020",75.64,75.75,75.815,75.574,3.44K,-0.14%
"May 01, 2020",75.749,75.319,75.804,75.293,0.54K,0.89%
"Apr 30, 2020",75.08,75.404,75.429,74.909,3.69K,-0.50%
"Apr 29, 2020",75.455,76.07,76.109,75.455,3.28K,-0.80%
"Apr 28, 2020",76.065,76.124,76.449,75.813,2.52K,-0.22%
"Apr 27, 2020",76.229,76.27,76.353,76.019,2.45K,-0.05%
"Apr 24, 2020",76.27,75.962,76.481,75.817,2.77K,0.49%
"Apr 23, 2020",75.895,76.465,76.465,75.824,2.86K,-0.67%
"Apr 22, 2020",76.41,76.93,77.01,76.41,0.83K,-0.73%
"Apr 21, 2020",76.975,76.59,77.004,76.583,0.93K,0.52%
"Apr 20, 2020",76.575,76.55,76.68,76.301,0.83K,0.03%
"Apr 17, 2020",76.55,76.821,76.821,76.242,2.48K,-0.33%
"Apr 16, 2020",76.805,76.625,76.914,76.55,2.43K,0.32%
"Apr 15, 2020",76.563,76.036,76.654,75.934,2.78K,0.72%
"Apr 14, 2020",76.015,76.318,76.378,76.015,0.32K,-0.31%
"Apr 13, 2020",76.249,75.879,76.457,75.879,1.96K,0.49%
"Apr 10, 2020",75.879,75.895,75.935,75.845,0.08K,-0.55%
"Apr 09, 2020",76.3,76.1,76.555,76.016,2.32K,0.47%
"Apr 08, 2020",75.945,75.625,76.41,75.625,1.77K,0.40%
"Apr 07, 2020",75.645,75.965,75.993,75.521,1.99K,-0.43%
"Apr 06, 2020",75.975,76.24,76.256,75.89,0.10K,-0.35%
"Apr 03, 2020",76.241,75.965,76.314,75.783,2.65K,-0.21%
"Apr 02, 2020",76.4,76.386,76.43,76.345,0.08K,-0.01%
"Apr 01, 2020",76.404,75.32,76.422,75.32,0.05K,1.41%
"Mar 31, 2020",75.343,75.535,75.68,75.28,2.06K,-0.09%
"Mar 30, 2020",75.41,75.145,75.675,75.096,1.86K,-0.08%
"Mar 27, 2020",75.472,74.625,75.533,74.365,0.36K,0.78%
"Mar 26, 2020",74.89,75.885,75.965,74.89,2.33K,-1.95%
"Mar 25, 2020",76.375,76.375,76.375,76.375,0,0.00%
"Mar 24, 2020",76.379,76.09,76.385,75.946,2.04K,0.06%
"Mar 23, 2020",76.335,75.37,76.335,75.37,2.39K,1.24%
"Mar 20, 2020",75.398,74.825,75.398,74.71,4.98K,0.82%
"Mar 19, 2020",74.786,74.875,75.312,74.668,4.71K,0.32%
"Mar 18, 2020",74.55,73.974,74.55,73.924,5.63K,0.66%
"Mar 17, 2020",74.062,74.073,74.315,73.858,5.21K,0.08%
"Mar 16, 2020",74.003,74.006,74.359,73.999,4.32K,0.22%
"Mar 13, 2020",73.84,74.561,74.561,73.732,5.26K,-0.99%
"Mar 12, 2020",74.576,74.134,74.579,74.074,5.86K,1.21%
"Mar 11, 2020",73.682,73.792,74.015,73.532,6.53K,-0.63%
"Mar 10, 2020",74.15,74.248,74.248,74.15,0.01K,-0.06%
"Mar 09, 2020",74.195,73.975,74.254,73.85,6.07K,0.26%
"Mar 06, 2020",74.004,73.873,74.073,73.529,1.47K,0.68%
"Mar 05, 2020",73.507,73.517,73.564,73.044,1.92K,-0.04%
"Mar 04, 2020",73.54,73.06,73.64,72.91,7.57K,0.67%
"Mar 03, 2020",73.05,72.48,73.397,72.44,6.74K,0.23%
"Mar 02, 2020",72.882,72.52,72.954,72.028,6.08K,0.47%
"Feb 28, 2020",72.539,71.755,72.574,71.755,6.59K,1.23%
